여성 스웨터 카라 다운 BF553E,11,1,"447,200",20,100,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438006_0_THNAIL_ORGINL_20240924220824800.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 쉐르파 카라형 점퍼 SF209E,11,1,"239,200",20,100,NULL,54N 70V,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/02/GQ2N24100235539_0_THNAIL_ORGINL_20241004123650252.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 리버시블 퀼팅 카라형 점퍼 BF264E,11,1,"415,200",20,100,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092438000_0_THNAIL_ORGINL_20240924220522139.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 숏 다운 푸퍼 BF7391,11,1,"479,200",20,100,NULL,54N 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/10/GQ2N24101037391_0_THNAIL_ORGINL_20241011094712527.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 숏 다운 푸퍼 BF7391,11,1,"479,200",20,100,NULL,54N 02S,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/10/GQ2N24101037387_0_THNAIL_ORGINL_20241022155004772.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 숏 다운 푸퍼 BF7391,11,1,"479,200",20,100,NULL,54N YZP,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/10/10/GQ2N24101037388_0_THNAIL_ORGINL_20241011132758328.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 리버시블 퀼팅 카라형 점퍼 BF264E,11,1,"415,200",20,100,NULL,54N 02S,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/24/GQ2N24092437999_0_THNAIL_ORGINL_20240924220443766.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 경량 다운 점퍼 BF806E,11,1,"287,200",20,100,NULL,54NF 031,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/08/08/GQ2N24080864469_0_THNAIL_ORGINL_20240809110335089.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 니트소매 경량 다운 BF254E,11,1,"415,200",20,100,NULL,54N XFJ,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/05/GQ2N24090541929_0_THNAIL_ORGINL_20240905104021540.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
여성 리버시블 퀼팅 다운 BF516E,11,1,"399,200",20,100,NULL,54N BMY,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/ORBR/24/09/10/GQ2N24091079047_0_THNAIL_ORGINL_20240910190831338.jpg,,NULL,NULL,0,0,SYSDATE,SYSDATE,2,NULL,0
